P_1,Y_1_star,P_1_star,RR_1_star,P_2,Y_2_star,P_2_star,RR_2_star,P_3,Y_3_star,P_3_star,RR_3_star,P_4,Y_4_star,P_4_star,RR_4_star,cons
-0.021979014157653035,0.0039430056510241325,-0.0076386514714093315,-0.0030923164686127006,-0.03144701789781878,0.002226555369231081,-0.010720326222402477,-0.0071260001321352285,-0.03592545359371818,-0.006427447894834615,-0.0085036885877942,-0.005901408440933708,-0.037263648987507364,-0.009688636898121338,-0.008226424428031691,-0.0077593815707997955,1.0
-0.016241577454981174,0.00920126603833996,-0.00670620829151746,0.00010691130198973151,-0.021979014157653035,0.0039430056510241325,-0.0076386514714093315,-0.0030923164686127006,-0.03144701789781878,0.002226555369231081,-0.010720326222402477,-0.0071260001321352285,-0.03592545359371818,-0.006427447894834615,-0.0085036885877942,-0.005901408440933708,1.0
-0.025707202804776695,0.008577713670489987,-0.00789964432059595,-0.0005421291723413575,-0.016241577454981174,0.00920126603833996,-0.00670620829151746,0.00010691130198973151,-0.021979014157653035,0.0039430056510241325,-0.0076386514714093315,-0.0030923164686127006,-0.03144701789781878,0.002226555369231081,-0.010720326222402477,-0.0071260001321352285,1.0
-0.029139639498164165,0.009298947019087463,-0.007608984296180165,-0.0016242811657957406,-0.025707202804776695,0.008577713670489987,-0.00789964432059595,-0.0005421291723413575,-0.016241577454981174,0.00920126603833996,-0.00670620829151746,0.00010691130198973151,-0.021979014157653035,0.0039430056510241325,-0.0076386514714093315,-0.0030923164686127006,1.0
-0.03603423553768144,0.006932640301974587,-0.011052194717940288,0.0013256615144497102,-0.029139639498164165,0.009298947019087463,-0.007608984296180165,-0.0016242811657957406,-0.025707202804776695,0.008577713670489987,-0.00789964432059595,-0.0005421291723413575,-0.016241577454981174,0.00920126603833996,-0.00670620829151746,0.00010691130198973151,1.0
-0.04019606471669233,0.007371834747329915,-0.012876638575296997,-0.0013683285779050706,-0.03603423553768144,0.006932640301974587,-0.011052194717940288,0.0013256615144497102,-0.029139639498164165,0.009298947019087463,-0.007608984296180165,-0.0016242811657957406,-0.025707202804776695,0.008577713670489987,-0.00789964432059595,-0.0005421291723413575,1.0
-0.02901878491349388,0.011007177084697431,-0.014597334768068787,-0.009302905197441626,-0.04019606471669233,0.007371834747329915,-0.012876638575296997,-0.0013683285779050706,-0.03603423553768144,0.006932640301974587,-0.011052194717940288,0.0013256615144497102,-0.029139639498164165,0.009298947019087463,-0.007608984296180165,-0.0016242811657957406,1.0
-0.0257960956380546,0.008916920366471034,-0.012151188153877123,-0.012380673931290026,-0.02901878491349388,0.011007177084697431,-0.014597334768068787,-0.009302905197441626,-0.04019606471669233,0.007371834747329915,-0.012876638575296997,-0.0013683285779050706,-0.03603423553768144,0.006932640301974587,-0.011052194717940288,0.0013256615144497102,1.0
-0.020365378277714327,0.015991633021159836,-0.010813737426932217,-0.015390970451296747,-0.0257960956380546,0.008916920366471034,-0.012151188153877123,-0.012380673931290026,-0.02901878491349388,0.011007177084697431,-0.014597334768068787,-0.009302905197441626,-0.04019606471669233,0.007371834747329915,-0.012876638575296997,-0.0013683285779050706,1.0
-0.015739026095842046,0.023536675940947605,-0.007096400951712142,-0.009654576266105327,-0.020365378277714327,0.015991633021159836,-0.010813737426932217,-0.015390970451296747,-0.0257960956380546,0.008916920366471034,-0.012151188153877123,-0.012380673931290026,-0.02901878491349388,0.011007177084697431,-0.014597334768068787,-0.009302905197441626,1.0
