,YNT,Y_star,P_star,RR_star
1990-01-01,-0.018909503825993212,0.01445072246268849,0.0042757105482960625,0.018404586927616384
1990-04-01,-0.017575470217980893,0.010945276240709796,0.006791489400595204,0.016619861262058458
1990-07-01,-0.027763803299219347,-0.0007770369547930777,0.011103677662426224,0.013952151447538327
1990-10-01,-0.028376496432303,-0.012640654449929099,0.015175011819745449,0.016959386812248126
1991-01-01,-0.021977010275938014,-0.023451055322157688,0.013941888813852443,0.015681798480135924
1991-04-01,-0.018255226209804576,-0.027438606281972037,0.011534634385638407,0.009492432195288236
1991-07-01,-0.016254585816559697,-0.03284921668094119,0.01044943638243305,0.014889690866892706
1991-10-01,-0.03807156861877381,-0.03658484821212809,0.007393203680895666,0.019452395218141304
1992-01-01,-0.013085770264771313,-0.03925816761516089,0.0007274576682144906,0.013074461487301863
1992-04-01,-0.029432864958229388,-0.0433030751227129,-0.002883650275454682,0.013993688898283152
1992-07-01,-0.011016281670588768,-0.04358914036287923,-0.00891314032397369,0.014152375319184023
1992-10-01,-0.04357828222271998,-0.04241300101347222,-0.013552643045182286,0.015343312520079335
1993-01-01,-0.04036712163644651,-0.04332482817255041,-0.0068672644621241225,0.019080399547659593
1993-04-01,-0.03374661720270744,-0.04330207191870378,-0.008519453951140444,0.008987387042602811
1993-07-01,-0.036447710675004075,-0.04247251895653959,-0.006962665313169514,0.004361300694272257
1993-10-01,-0.00578986618406141,-0.04044605361415493,-0.00804873387368587,0.001523101123855834
1994-01-01,-0.033372854612169434,-0.03469228675404842,-0.014866641554362056,-0.0041762093512238896
1994-04-01,-0.012098092202407429,-0.028764372059854715,-0.011713349896113051,-0.004684389435889733
1994-07-01,-0.012372788806137791,-0.025519559382843903,-0.010685650131972676,-0.002742461495707801
1994-10-01,-0.006905730814098732,-0.02305718790320482,-0.010782205780089598,0.0008956909188159628
1995-01-01,-0.0016069585379607787,-0.0242866270940168,-0.008276964877958736,0.007452867657178786
1995-04-01,-0.023136224090340107,-0.02730833648873203,-0.009981222258097368,0.006788453082126129
1995-07-01,-0.017231296684029118,-0.02542631803849235,-0.010779049339052297,0.0036810456198098866
1995-10-01,-0.026718516146077675,-0.027445479514347944,-0.010904345248109763,0.0004934606228827872
1996-01-01,-0.0034603996702582407,-0.028096190429569595,-0.01145824593714808,-0.005997932406783587
1996-04-01,-0.016727854602788028,-0.02677923253914244,-0.01161169460790027,-0.0036520654307273187
1996-07-01,-0.0020925458466898306,-0.02316052369170628,-0.012799303013621047,-0.007869515112826677
1996-10-01,-0.004753548090970838,-0.017219860931630068,-0.011411575444453391,-0.008493368815535062
1997-01-01,-0.015109063992181149,-0.010915619983251718,-0.01283590894987757,-0.00390791871387261
1997-04-01,0.0212717785338441,-0.004578472084938282,-0.014470676188704236,-0.005083520348878858
1997-07-01,0.011227215393708079,-0.001913150389871854,-0.009898565305700886,-0.00033297659196281207
1997-10-01,0.025408076459051188,0.0012491282545550586,-0.009366438946122485,0.0040761978119874115
1998-01-01,0.022288114162833494,-0.00047515987562540965,-0.012063740370669828,0.004668103148018035
1998-04-01,0.025336451683728,-0.001298866415437366,-0.011865845474163314,0.0018617042464552558
1998-07-01,0.021962641521927395,0.001021182512945439,-0.016451897279151518,-0.0003562836265129192
1998-10-01,0.02590472198094851,0.006479911843878808,-0.018227018115714286,-0.005063440585588047
1999-01-01,0.014939079119169918,0.010552155769458216,-0.01842112361077916,-0.0133478954979554
1999-04-01,0.020036730374252798,0.011795705497173214,-0.015911909377874265,-0.015006563221477979
1999-07-01,0.02444875277952363,0.021040089972196287,-0.013457221826741491,-0.016698521560642894
1999-10-01,0.028959795968411584,0.029957562559361942,-0.010478922151382129,-0.011422674282002675
2000-01-01,0.036606047895901384,0.033302377715367516,-0.007296223576809473,-0.00796080679958373
2000-04-01,0.01857784897138437,0.03802874102230535,-0.008055506559989552,-0.006968131858782381
2000-07-01,0.019289973175771635,0.0372424487271062,-0.005507357779425154,0.002504343924128436
2000-10-01,0.01713079252427363,0.03402729734017058,-0.004429032202390994,0.01102946124731665
2001-01-01,0.024097498146998575,0.03273666496779113,-0.005147125093458997,0.004171696174204036
2001-04-01,0.01643752987050462,0.031712424054207315,0.0031700032768869502,0.004778213801095237
2001-07-01,0.008927439746603483,0.02743154160764551,0.0008504924255813362,-0.0002769196361310344
2001-10-01,0.007136003281793535,0.02537098500950537,-0.0031146472826361544,-0.013770196027283348
2002-01-01,-0.004115391143363567,0.02821840090088852,-0.00033729845086220964,-0.016941645391476096
2002-04-01,0.0020771612432994857,0.02916967273389734,-0.006261210236185806,-0.009294674025339929
2002-07-01,-0.011369840338254278,0.030222157399093556,-0.0057127141802637,-0.009564320201692442
2002-10-01,-0.022514899790868625,0.03038197432764929,-0.0018950074809305703,-0.010912262529442157
2003-01-01,-0.02417467891066849,0.029074678177896784,0.0003540686760900327,-0.01024086871425774
2003-04-01,-0.023508677025574798,0.028754554658761207,-0.00457029801993766,-0.020435791571383886
2003-07-01,-0.023589435550952942,0.033871646767785896,-0.005003477744049226,-0.021206705313698813
2003-10-01,-0.03624729883708078,0.03770068754929069,-0.005933078109407445,-0.02251345750103818
2004-01-01,-0.014496016108854093,0.03755600654119555,-0.009031653176340072,-0.020402733800454816
2004-04-01,-0.02108884433974545,0.039022716012181276,-0.003271945289971739,-0.017974122878195754
2004-07-01,-0.016787591675448965,0.03937197445889076,-0.0026786423154743126,-0.020778963650305547
2004-10-01,-0.01586130126008456,0.039771962405034986,-0.0005561805878151414,-0.017337931163537847
2005-01-01,-0.02401780766918371,0.04100497655212276,-0.001976512704884671,-0.016242380858283344
2005-04-01,-0.003942469137818705,0.043451181416882846,-0.0021792333596816886,-0.01651588814123219
2005-07-01,-0.010734813298073576,0.047154170748931266,0.0020643166670601385,-0.010396253368148341
2005-10-01,-0.0002740147930513359,0.050532888058511395,0.0016471993356029786,-0.001769199002051706
2006-01-01,-0.003463572455743247,0.05332688220514902,0.0022565545156093057,-0.0008834291353534323
2006-04-01,0.006018358750967678,0.05041117713186019,0.005506096240303924,0.0015399179592549724
2006-07-01,0.008614995548713367,0.047836080105985626,0.003885860432088348,0.004731988259645422
2006-10-01,0.03454749052517059,0.048796084336353705,0.001336624053953056,-0.002363866557985429
2007-01-01,0.029289089072623398,0.049923243346401455,0.0037793128113684463,-0.0017121501463819386
2007-04-01,0.02939343348247725,0.05103415629554712,0.004522987200220283,-0.002221044263473161
2007-07-01,0.03516871668301924,0.051853767990348305,0.0036395062440720727,-0.0021692538029618
2007-10-01,0.048128563584619144,0.05116838744435754,0.01261545751658712,0.01850430645691445
2008-01-01,0.028944000476981202,0.04783989912351832,0.015334817144682177,0.024879004262382834
2008-04-01,0.02572932141166895,0.04273824156612975,0.02035902740538741,0.03592572637818588
2008-07-01,0.027205978208179715,0.030811132056867318,0.026786774455314875,0.0437074434750891
2008-10-01,0.020739407096655782,0.0056947439056418666,0.010761410639911161,0.02438495037954235
2009-01-01,-0.0014616766532213887,-0.015605063649796596,-0.0005972204005883074,-0.002591500256313094
2009-04-01,0.00034980415204621806,-0.02420511256709161,-0.01068000446870513,-0.009567351909119372
2009-07-01,-0.009549015782717163,-0.02584654193628658,-0.016787187090408315,-0.01268606010282528
2009-10-01,-0.009117307104528294,-0.024206062601714203,-0.0073872968849031505,-0.015485735141892172
2010-01-01,0.0025799630694915976,-0.02158005429375441,0.0016602583905472451,-0.020071899255886674
2010-04-01,-0.00785177726400299,-0.016903378685999743,0.0033547384017294296,-0.02279490943171951
2010-07-01,-0.009991409840546694,-0.014795383957971689,0.003350825111498036,-0.021427175652286804
2010-10-01,-0.016647000726822014,-0.015244167519653908,0.007202997173841282,-0.01906352915380031
2011-01-01,-0.01651599236440049,-0.01714781263677894,0.012434404483759452,-0.015529009390044044
2011-04-01,-0.00693614150540256,-0.019260810041627056,0.016804353362260938,-0.008295895522563117
2011-07-01,-0.01298825056285935,-0.020040414774326186,0.018275991235802293,-0.006504025594967463
2011-10-01,-0.0130688873689504,-0.019727275987794075,0.017134625531457184,-0.004900096372743651
2012-01-01,-0.008763697494632794,-0.018788851987090502,0.013193693880914813,-0.003373940713632005
2012-04-01,-0.005090368194817785,-0.021959757010256743,0.008273197537265489,-0.003022679743575309
